#timestamp [s],p_x [m],p_y [m],p_z [m],R11,R21,R31,R12,R22,R32,R13,R23,R33
1403636582.313555,64.285013,64.285013,64.285013,-0.267876,0.934742,0.233454,-0.921913,-0.319071,0.219704,0.279855,-0.156371,0.947222
1403636582.363556,68.054654,68.054654,68.054654,-0.877899,0.414132,0.240394,-0.478044,-0.728931,-0.490034,-0.027709,-0.545119,0.837900
1403636582.413556,71.259772,71.259772,71.259772,-0.732821,0.310150,-0.605624,-0.289151,-0.947655,-0.135430,-0.615927,0.075870,0.784142
1403636582.463556,73.651842,73.651842,73.651842,-0.197113,-0.261843,-0.944767,-0.381633,-0.867169,0.319959,-0.903052,0.423623,0.071002
1403636582.513556,70.922103,70.922103,70.922103,-0.169710,-0.258815,-0.950901,-0.392078,-0.867514,0.306094,-0.904142,0.424775,0.045750
1403636582.563556,62.346178,62.346178,62.346178,-0.163861,-0.255021,-0.952950,-0.395086,-0.868184,0.300272,-0.903912,0.425700,0.041507
1403636582.613555,57.439120,57.439120,57.439120,-0.144298,-0.279335,-0.949289,-0.316798,-0.895796,0.311750,-0.937452,0.345718,0.040769
1403636582.663556,58.369324,58.369324,58.369324,0.283917,-0.879905,-0.380996,-0.620154,-0.471561,0.626928,-0.731300,0.058281,-0.679561
1403636582.713556,59.225161,59.225161,59.225161,0.352276,-0.854168,-0.382490,-0.579438,-0.519997,0.627578,-0.734951,0.000549,-0.678120
1403636582.763556,62.959715,62.959715,62.959715,0.378223,-0.845444,-0.377056,-0.601443,-0.534060,0.594177,-0.703714,0.002047,-0.710481
1403636582.813555,71.566164,71.566164,71.566164,0.404068,-0.836767,-0.369527,-0.620017,-0.547556,0.561927,-0.672538,0.002056,-0.740059
1403636582.863556,80.691546,80.691546,80.691546,0.434937,-0.826840,-0.356601,-0.643410,-0.562425,0.519327,-0.629962,0.003566,-0.776617
1403636582.913556,85.345796,85.345796,85.345796,0.407747,-0.893034,-0.190350,-0.682749,-0.436608,0.585856,-0.606297,-0.108920,-0.787744
1403636582.963556,89.955582,89.955582,89.955582,0.426792,-0.888460,-0.168783,-0.709911,-0.444764,0.546087,-0.560245,-0.113245,-0.820549
1403636583.013556,99.454717,99.454717,99.454717,0.443472,-0.884047,-0.147623,-0.732487,-0.452394,0.508726,-0.516522,-0.117474,-0.848178
1403636583.263556,147.893130,147.893130,147.893130,0.445686,-0.883598,-0.143591,-0.732505,-0.452174,0.508896,-0.514587,-0.121627,-0.848768
1403636583.313555,157.476078,157.476078,157.476078,0.448951,-0.882565,-0.139719,-0.731851,-0.452895,0.509195,-0.512676,-0.126351,-0.849234
1403636583.363556,165.905194,165.905194,165.905194,0.359524,-0.927580,0.101673,-0.852099,-0.281935,0.440953,-0.380354,-0.245168,-0.891753
1403636583.413556,173.252798,173.252798,173.252798,0.355880,-0.929047,0.101103,-0.849269,-0.276365,0.449850,-0.389990,-0.245956,-0.887363
1403636583.463556,176.333595,176.333595,176.333595,0.198878,-0.437685,0.876858,-0.752249,0.505301,0.422838,-0.628147,-0.743709,-0.228755
1403636583.513556,179.916572,179.916572,179.916572,0.209939,-0.436381,0.874927,-0.740666,0.513168,0.433672,-0.638231,-0.739074,-0.215479
1403636583.563556,188.831922,188.831922,188.831922,0.225047,-0.437517,0.870593,-0.726636,0.519903,0.449112,-0.649118,-0.733676,-0.200913
1403636583.613555,194.050659,194.050659,194.050659,0.247672,-0.487941,0.837002,-0.724177,0.480666,0.494498,-0.643604,-0.728610,-0.234308
1403636583.663556,196.066607,196.066607,196.066607,0.265277,-0.486445,0.832466,-0.713211,0.481999,0.508927,-0.648813,-0.728731,-0.219075
1403636583.713556,197.903381,197.903381,197.903381,0.303118,-0.523453,0.796314,-0.710350,0.432912,0.554968,-0.635234,-0.733883,-0.240611
1403636583.763556,198.482567,198.482567,198.482567,0.343632,-0.555805,0.756966,-0.704578,0.380322,0.599103,-0.620875,-0.739213,-0.260918
1403636583.813555,202.829306,202.829306,202.829306,0.370478,-0.554996,0.744799,-0.683218,0.380400,0.623305,-0.629253,-0.739781,-0.238253
1403636583.863556,211.403966,211.403966,211.403966,0.261087,-0.582302,0.769908,-0.791072,0.328011,0.516347,-0.553208,-0.743864,-0.375003
1403636583.913556,220.210907,220.210907,220.210907,0.084793,-0.633058,0.769447,-0.914414,0.257313,0.312470,-0.395800,-0.730088,-0.557058
1403636583.963556,228.861112,228.861112,228.861112,-0.077208,-0.685644,0.723831,-0.976136,0.199783,0.085123,-0.202974,-0.699985,-0.684706
1403636584.013556,237.571433,237.571433,237.571433,-0.157722,-0.712642,0.683568,-0.983438,0.175954,-0.043475,-0.089295,-0.679104,-0.728591
1403636584.063556,246.470361,246.470361,246.470361,-0.172105,-0.712895,0.679824,-0.982573,0.173428,-0.066884,-0.070219,-0.679488,-0.730319
1403636584.113555,246.831063,246.831063,246.831063,-0.150079,-0.701562,0.696626,-0.983557,0.177538,-0.033099,-0.100457,-0.690139,-0.716671
1403636584.163556,238.049073,238.049073,238.049073,-0.083637,-0.674693,0.733345,-0.977918,0.197014,0.069727,-0.191523,-0.711319,-0.676272
1403636584.213556,228.729897,228.729897,228.729897,0.078832,-0.619553,0.780987,-0.922012,0.252572,0.293431,-0.379051,-0.743210,-0.551324
1403636584.263556,219.278002,219.278002,219.278002,0.291851,-0.558093,0.776760,-0.776717,0.335626,0.532978,-0.558151,-0.758873,-0.335528
1403636584.313555,209.825573,209.825573,209.825573,0.430000,-0.525098,0.734420,-0.640962,0.395332,0.657936,-0.635820,-0.753648,-0.166575
1403636584.363556,200.381038,200.381038,200.381038,0.824015,-0.482986,0.296181,0.106986,0.646005,0.755798,-0.556375,-0.591102,0.583991
1403636584.413556,190.915811,190.915811,190.915811,0.851911,-0.508796,0.123992,0.313083,0.684624,0.658232,-0.419794,-0.521935,0.742534
1403636584.463556,188.325702,188.325702,188.325702,0.844103,-0.518908,0.134999,0.307555,0.674821,0.670840,-0.439204,-0.524738,0.729211
1403636584.513556,188.930187,188.930187,188.930187,0.865028,-0.501723,-0.000695,0.319902,0.550480,0.771126,-0.386508,-0.667268,0.636683
1403636584.563556,191.413143,191.413143,191.413143,0.872342,-0.469926,0.134862,0.137531,0.500588,0.854691,-0.469152,-0.727036,0.501314
1403636584.613555,199.836932,199.836932,199.836932,0.842984,-0.443670,0.304194,-0.108117,0.414206,0.903739,-0.526961,-0.794726,0.301201
1403636584.663556,208.564995,208.564995,208.564995,0.786523,-0.437883,0.435476,-0.311578,0.327458,0.892015,-0.533198,-0.837275,0.121119
1403636584.713556,217.333108,217.333108,217.333108,0.744887,-0.441409,0.500302,-0.418493,0.274895,0.865619,-0.519622,-0.854161,0.020040
1403636584.813555,229.382579,229.382579,229.382579,0.729621,-0.446426,0.518031,-0.440862,0.272029,0.855360,-0.522775,-0.852469,0.001666
1403636584.863556,233.053390,233.053390,233.053390,0.721337,-0.445318,0.530438,-0.464507,0.257018,0.847452,-0.513718,-0.857691,-0.021457
1403636584.913556,232.138586,232.138586,232.138586,0.716667,-0.442617,0.538961,-0.475239,0.255661,0.841894,-0.510428,-0.859493,-0.027125
1403636585.013556,228.195227,228.195227,228.195227,0.718224,-0.440539,0.538591,-0.476287,0.253022,0.842099,-0.507253,-0.861339,-0.028096
1403636585.113555,236.570268,236.570268,236.570268,0.721590,-0.439827,0.534660,-0.471922,0.252569,0.844688,-0.506555,-0.861836,-0.025312
1403636585.163556,238.866917,238.866917,238.866917,0.726602,-0.437837,0.529480,-0.458510,0.264926,0.848282,-0.511682,-0.859135,-0.008257
1403636585.213556,237.429021,237.429021,237.429021,0.730965,-0.438683,0.522731,-0.443015,0.277596,0.852455,-0.519065,-0.854692,0.008570
1403636585.263556,235.700323,235.700323,235.700323,0.733473,-0.443674,0.514948,-0.423275,0.294637,0.856754,-0.531842,-0.846370,0.028312
1403636585.313555,236.270474,236.270474,236.270474,0.734527,-0.453954,0.504377,-0.411794,0.292582,0.863030,-0.539348,-0.841618,0.027974
1403636585.363556,239.175192,239.175192,239.175192,0.732959,-0.466066,0.495534,-0.396909,0.298605,0.867928,-0.552480,-0.832837,0.033879
1403636585.413556,241.953516,241.953516,241.953516,0.734082,-0.473676,0.486575,-0.382744,0.303265,0.872661,-0.560920,-0.826838,0.041324
1403636585.463556,247.835770,247.835770,247.835770,0.739816,-0.469582,0.481835,-0.372549,0.310429,0.874552,-0.560250,-0.826514,0.054718
1403636585.513556,254.104381,254.104381,254.104381,0.742966,-0.472891,0.473683,-0.356048,0.320036,0.877956,-0.566773,-0.820946,0.069404
1403636585.563556,251.392591,251.392591,251.392591,0.814466,-0.439539,0.378750,-0.250408,0.322572,0.912822,-0.523395,-0.838304,0.152660
1403636585.613555,242.217897,242.217897,242.217897,0.827800,-0.433700,0.355883,-0.217634,0.336426,0.916217,-0.517091,-0.835896,0.184105
1403636585.663556,232.881975,232.881975,232.881975,0.848826,-0.417748,0.324009,-0.179269,0.349123,0.919769,-0.497351,-0.838809,0.221455
1403636585.713556,223.549937,223.549937,223.549937,0.868868,-0.400917,0.290404,-0.140786,0.362283,0.921374,-0.474603,-0.841437,0.258333
1403636585.813555,204.335041,204.335041,204.335041,0.950808,-0.182588,-0.250250,0.305223,0.414123,0.857520,-0.052939,-0.891720,0.449482
1403636585.913556,184.461950,184.461950,184.461950,0.630274,0.014424,-0.776238,0.634508,0.566581,0.525723,0.447386,-0.823879,0.347949
1403636585.963556,183.926094,183.926094,183.926094,0.638597,0.018587,-0.769317,0.621461,0.577139,0.529808,0.453851,-0.816434,0.357008
1403636586.263556,207.686634,207.686634,207.686634,0.624012,0.005198,-0.781397,0.634123,0.580962,0.510266,0.456615,-0.813914,0.359231
1403636586.313555,206.840510,206.840510,206.840510,0.589129,-0.166420,-0.790715,0.699679,0.594559,0.396167,0.404197,-0.786641,0.466713
1403636586.363556,203.014622,203.014622,203.014622,0.560921,-0.148778,-0.814391,0.709379,0.593510,0.380167,0.426788,-0.790956,0.438452
1403636586.463556,195.918540,195.918540,195.918540,0.543418,-0.164900,-0.823107,0.722381,0.591337,0.358450,0.427625,-0.789385,0.440464
1403636586.513556,193.464745,193.464745,193.464745,0.179242,-0.723281,-0.666886,0.705866,0.566730,-0.424936,0.685293,-0.394566,0.612121
1403636586.563556,195.633015,195.633015,195.633015,0.168075,-0.725357,-0.667539,0.708454,0.559749,-0.429854,0.685451,-0.400673,0.607962
1403636586.613555,199.859535,199.859535,199.859535,0.183889,-0.627918,-0.756243,0.688459,0.631408,-0.356860,0.701577,-0.455019,0.548404
1403636586.663556,199.989517,199.989517,199.989517,0.185391,-0.635860,-0.749208,0.690173,0.626975,-0.361336,0.699493,-0.450095,0.555089
1403636586.713556,195.883206,195.883206,195.883206,0.160517,-0.637377,-0.753648,0.691928,0.617183,-0.374594,0.703896,-0.461341,0.540088
1403636586.763556,191.532331,191.532331,191.532331,0.169154,-0.652945,-0.738275,0.699112,0.607489,-0.377095,0.694716,-0.452350,0.559241
1403636586.863556,192.440460,192.440460,192.440460,0.174788,-0.644493,-0.744364,0.702916,0.611063,-0.364021,0.689462,-0.459599,0.559831
1403636587.013556,207.940919,207.940919,207.940919,0.186116,-0.643841,-0.742179,0.721220,0.602501,-0.341811,0.667235,-0.471657,0.576486
1403636587.113555,226.975999,226.975999,226.975999,0.192459,-0.641941,-0.742207,0.735197,0.595284,-0.324225,0.649957,-0.483269,0.586521
1403636587.163556,236.617799,236.617799,236.617799,0.203277,-0.636105,-0.744344,0.754138,0.586568,-0.295320,0.624463,-0.501306,0.598947
1403636587.213556,246.304273,246.304273,246.304273,0.225215,-0.628491,-0.744498,0.779234,0.574891,-0.249590,0.584870,-0.523927,0.619216
1403636587.263556,256.049557,256.049557,256.049557,0.253574,-0.617225,-0.744804,0.805479,0.561088,-0.190746,0.535634,-0.551556,0.639439
1403636587.313555,261.833225,261.833225,261.833225,0.260478,-0.600122,-0.756310,0.800556,0.572130,-0.178261,0.539686,-0.559035,0.629458
1403636587.363556,261.633212,261.633212,261.633212,0.260703,-0.597424,-0.758366,0.799062,0.574365,-0.177779,0.541788,-0.559634,0.627118
1403636587.413556,258.966861,258.966861,258.966861,0.232306,-0.634605,-0.737096,0.800247,0.555450,-0.226007,0.552846,-0.537356,0.636875
1403636587.463556,255.545203,255.545203,255.545203,0.208258,-0.662454,-0.719572,0.776304,0.559484,-0.290395,0.594962,-0.498129,0.630783
1403636587.513556,255.843968,255.843968,255.843968,0.223910,-0.665541,-0.711983,0.782146,0.558560,-0.276150,0.581474,-0.495042,0.645617
1403636587.563556,257.119692,257.119692,257.119692,0.223269,-0.666625,-0.711170,0.779150,0.560456,-0.280741,0.585728,-0.491427,0.644533
1403636587.613555,251.536850,251.536850,251.536850,0.084245,-0.631442,-0.770833,0.786196,0.517404,-0.337917,0.612207,-0.577558,0.540026
1403636587.663556,241.904975,241.904975,241.904975,-0.179570,-0.594056,-0.784125,0.672458,0.507654,-0.538598,0.718022,-0.624007,0.308318
1403636587.713556,236.666241,236.666241,236.666241,0.449210,0.891065,-0.064914,0.114220,0.014783,0.993345,0.886095,-0.453635,-0.095137
1403636587.763556,231.781811,231.781811,231.781811,0.480021,0.876714,-0.030863,0.099755,-0.019598,0.994819,0.871567,-0.480613,-0.096864
1403636587.813555,226.083660,226.083660,226.083660,0.475005,0.879738,-0.020779,0.094218,-0.027367,0.995175,0.874925,-0.474671,-0.095887
1403636587.863556,224.893557,224.893557,224.893557,0.488097,0.872659,0.015074,0.075808,-0.059595,0.995340,0.869491,-0.484680,-0.095243
1403636587.913556,220.149260,220.149260,220.149260,0.604725,0.788876,-0.109462,0.456241,-0.230478,0.859491,0.652803,-0.569697,-0.499293
1403636587.963556,219.503647,219.503647,219.503647,0.408751,0.855634,0.317511,0.028941,-0.359879,0.932550,0.912187,-0.371992,-0.171863
1403636588.013556,224.092874,224.092874,224.092874,0.409613,0.852987,0.323466,0.040346,-0.371169,0.927688,0.911367,-0.366943,-0.186450
1403636588.063556,224.894851,224.894851,224.894851,0.424288,0.831665,0.358209,0.045490,-0.414657,0.908840,0.904384,-0.369315,-0.213767
1403636588.113555,221.436652,221.436652,221.436652,0.452267,0.807591,0.378485,0.037736,-0.441314,0.896559,0.891084,-0.391202,-0.230067
1403636588.163556,218.013958,218.013958,218.013958,0.455124,0.804497,0.381637,0.039040,-0.446216,0.894074,0.889572,-0.392015,-0.234491
1403636588.213556,218.741773,218.741773,218.741773,0.452094,0.804108,0.386034,0.049909,-0.454914,0.889136,0.890573,-0.382706,-0.245796
1403636588.413556,209.737953,209.737953,209.737953,0.463606,0.798585,0.383838,0.049312,-0.455789,0.888721,0.884668,-0.393088,-0.250686
1403636588.613555,198.774610,198.774610,198.774610,0.446120,0.789442,0.421614,0.058956,-0.495990,0.866324,0.893029,-0.361628,-0.267813
1403636588.663556,198.747607,198.747607,198.747607,0.432758,0.780447,0.451246,0.066664,-0.526877,0.847323,0.899042,-0.336604,-0.280038
1403636588.713556,199.619008,199.619008,199.619008,0.434300,0.783103,0.445122,0.066989,-0.520869,0.851004,0.898274,-0.339773,-0.278673
1403636588.763556,201.446275,201.446275,201.446275,0.437913,0.783150,0.441484,0.067826,-0.518455,0.852411,0.896455,-0.343338,-0.280156
1403636588.813555,203.378648,203.378648,203.378648,0.441536,0.784137,0.436090,0.069188,-0.514342,0.854790,0.894572,-0.347248,-0.281354
1403636588.863556,205.199265,205.199265,205.199265,0.443843,0.785819,0.430687,0.069888,-0.509513,0.857620,0.893375,-0.350549,-0.281064
1403636588.913556,204.485517,204.485517,204.485517,0.455602,0.782184,0.424989,0.083420,-0.512831,0.854427,0.886266,-0.353826,-0.298896
1403636588.963556,206.226967,206.226967,206.226967,0.420293,0.818767,0.391119,0.110481,-0.474007,0.873563,0.900637,-0.323941,-0.289680
1403636589.013556,205.063339,205.063339,205.063339,0.438094,0.844258,0.308711,0.277148,-0.453546,0.847045,0.855139,-0.285526,-0.432680
1403636589.063556,200.339410,200.339410,200.339410,0.445646,0.845661,0.293697,0.268340,-0.439180,0.857388,0.854045,-0.303281,-0.422644
1403636589.113555,200.351962,200.351962,200.351962,0.449068,0.843896,0.293560,0.262771,-0.438758,0.859327,0.853984,-0.308757,-0.418784
1403636589.163556,200.818894,200.818894,200.818894,0.450758,0.843925,0.290873,0.256498,-0.434566,0.863343,0.855000,-0.314551,-0.412349
1403636589.213556,196.433362,196.433362,196.433362,0.428824,0.880344,0.202742,0.356522,-0.371126,0.857413,0.830061,-0.295397,-0.473010
1403636589.263556,186.814976,186.814976,186.814976,0.402420,0.910524,0.094896,0.486153,-0.300389,0.820623,0.775702,-0.284101,-0.563536
1403636589.313555,178.975917,178.975917,178.975917,-0.400257,0.832261,-0.383583,0.911109,0.316481,-0.264045,-0.098358,-0.455171,-0.884955
1403636589.363556,175.829423,175.829423,175.829423,-0.407680,0.844875,-0.346387,0.907104,0.331229,-0.259712,-0.104690,-0.420088,-0.901424
1403636589.413556,177.651083,177.651083,177.651083,-0.334078,0.784551,-0.522372,0.939411,0.231995,-0.252359,-0.076800,-0.575029,-0.814520
1403636589.463556,182.428968,182.428968,182.428968,-0.311272,0.798001,-0.516047,0.950088,0.249302,-0.187566,-0.021026,-0.548674,-0.835772
1403636589.513556,185.575636,185.575636,185.575636,-0.313319,0.799393,-0.512642,0.949488,0.253787,-0.184567,-0.017440,-0.544576,-0.838530
1403636589.563556,186.681917,186.681917,186.681917,-0.309541,0.794865,-0.521894,0.950720,0.248449,-0.185484,-0.017771,-0.553590,-0.832599
1403636589.613555,187.991495,187.991495,187.991495,-0.307819,0.790037,-0.530178,0.951310,0.246180,-0.185485,-0.016021,-0.561460,-0.827349
1403636589.663556,189.469294,189.469294,189.469294,-0.300334,0.760138,-0.576185,0.953602,0.225965,-0.198954,-0.021035,-0.609204,-0.792734
1403636589.713556,186.720413,186.720413,186.720413,-0.555348,0.802912,-0.216611,0.798113,0.441388,-0.410114,-0.233676,-0.400636,-0.885938
1403636589.763556,183.775817,183.775817,183.775817,-0.550758,0.802546,-0.229317,0.800169,0.429508,-0.418632,-0.237477,-0.414057,-0.878727
1403636589.813555,189.086202,189.086202,189.086202,-0.569470,0.768978,-0.290476,0.806566,0.454539,-0.377949,-0.158602,-0.449519,-0.879078
1403636589.863556,195.815036,195.815036,195.815036,-0.564446,0.766187,-0.307177,0.808342,0.437626,-0.393786,-0.167285,-0.470575,-0.866357
1403636589.913556,193.994045,193.994045,193.994045,-0.647036,0.688566,-0.327447,0.737954,0.457543,-0.496062,-0.191750,-0.562611,-0.804177
1403636589.963556,190.714093,190.714093,190.714093,-0.652667,0.675341,-0.343424,0.733819,0.450692,-0.508318,-0.188510,-0.583774,-0.789729
1403636590.013556,196.080651,196.080651,196.080651,-0.647772,0.645176,-0.405140,0.749839,0.445948,-0.488745,-0.134655,-0.620385,-0.772652
1403636590.063556,198.133199,198.133199,198.133199,-0.691346,0.628160,-0.357009,0.709612,0.497320,-0.499123,-0.135982,-0.598405,-0.789570
1403636590.113555,192.522218,192.522218,192.522218,-0.719447,0.612727,-0.327051,0.681383,0.531418,-0.503301,-0.134585,-0.584945,-0.799829
1403636590.163556,194.125600,194.125600,194.125600,-0.684185,0.622372,-0.380190,0.723631,0.514397,-0.460168,-0.090827,-0.589957,-0.802310
1403636590.213556,194.431601,194.431601,194.431601,-0.697704,0.609055,-0.377174,0.710313,0.519732,-0.474694,-0.093085,-0.599108,-0.795239
1403636590.313555,194.890418,194.890418,194.890418,-0.683299,0.623124,-0.380551,0.724130,0.511622,-0.462469,-0.093477,-0.591573,-0.800814
1403636590.363556,204.418309,204.418309,204.418309,-0.653936,0.649647,-0.387720,0.751748,0.500323,-0.429594,-0.085100,-0.572395,-0.815550
1403636590.463556,213.734371,213.734371,213.734371,-0.654742,0.654624,-0.377862,0.751157,0.507897,-0.421668,-0.084119,-0.559917,-0.824267
1403636590.513556,209.979156,209.979156,209.979156,-0.714864,0.612462,-0.337432,0.662194,0.437902,-0.608063,-0.224653,-0.658128,-0.718609
1403636590.563556,209.038341,209.038341,209.038341,-0.618085,0.629975,-0.470215,0.756857,0.315231,-0.572535,-0.212456,-0.709762,-0.671640
1403636590.613555,208.407661,208.407661,208.407661,-0.687815,0.578695,-0.438203,0.646154,0.213046,-0.732869,-0.330750,-0.787225,-0.520462
1403636590.663556,207.820180,207.820180,207.820180,-0.576259,0.585203,-0.570494,0.740952,0.079559,-0.666829,-0.344842,-0.806975,-0.479454
1403636590.713556,207.456796,207.456796,207.456796,-0.659339,0.519863,-0.543153,0.612222,-0.048101,-0.789221,-0.436413,-0.852895,-0.286557
